datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
1/16/21,10.8,3,6.3,10.8,-2.2,2.3,4.1,86,28.451,100,54.17,rain,0,0,77.8,53,127,998.4,88.6,12.9,20.7,1.7,2,,2021-01-16T07:10:23,2021-01-16T16:38:36,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/17/21,6.3,1.4,3.9,1.2,-4.5,-1.2,-3.9,57.1,0,0,0,,0,0,62.6,37.8,248.4,996.4,65.5,16,57.2,4.9,3,,2021-01-17T07:09:51,2021-01-17T16:39:48,0.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/18/21,7.3,0,3.9,3.2,-5.3,-0.5,-4.3,55.3,0,0,0,,0,0,51.8,35.6,257.6,1004.1,68,16,68.8,5.9,3,,2021-01-18T07:09:17,2021-01-18T16:41:01,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/19/21,4.6,-3.2,0.6,0.8,-8.8,-3.7,-7.4,55.7,0,0,0,,0,0,38.9,22.4,274,1014.5,57.1,15.9,67.9,5.7,4,,2021-01-19T07:08:41,2021-01-19T16:42:15,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
1/20/21,3.1,-3.3,0.3,-0.3,-9.5,-4,-7.6,56.3,0,0,0,,0,0,41.5,25.8,294,1012.1,78.4,16,45.6,4,2,,2021-01-20T07:08:02,2021-01-20T16:43:29,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
1/21/21,-0.9,-6.2,-3.2,-0.9,-11.3,-7.3,-10.1,59.9,0,0,0,,0,0,37.1,23.3,240.9,1008.4,78.3,15.4,39.5,3.3,2,,2021-01-21T07:07:22,2021-01-21T16:44:44,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
1/22/21,5.8,-0.8,2.2,2.3,-4.4,-1.2,-4.6,61.2,0,0,0,,0,0,33.5,21.6,272.8,1003.6,81.8,16,59.3,5.2,4,,2021-01-22T07:06:39,2021-01-22T16:46:00,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
1/23/21,1,-7.8,-2.7,-3.2,-16.3,-9.3,-12.2,48.8,0,0,0,,0,0,57.5,36.4,298.4,1011.7,39.4,16,77,6.6,4,,2021-01-23T07:05:54,2021-01-23T16:47:16,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
1/24/21,-0.5,-8.3,-4.9,-8.1,-17.4,-13.1,-17.2,38.7,0,0,0,,0,0,64.4,40.5,294.7,1014.1,11.7,16,94.1,8.1,4,,2021-01-24T07:05:07,2021-01-24T16:48:32,0.41,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/25/21,2.4,-6.9,-3,-2,-14.7,-8.9,-14.7,41.6,0,0,0,,0,0,50.5,29.8,307.6,1017.1,20.5,16,90.8,7.7,4,,2021-01-25T07:04:18,2021-01-25T16:49:49,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/26/21,1.4,-6.2,-2.2,-2.4,-10.7,-6.3,-7.3,69.2,5.053,100,25,"rain,snow",5.7,1.9,29.5,14.7,18.1,1017.1,65.8,12.6,57.7,5,3,,2021-01-26T07:03:27,2021-01-26T16:51:06,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/27/21,1.8,-2,-0.1,-0.4,-7.3,-3.9,-2.1,86.5,2.065,100,37.5,"rain,snow",3.4,8.2,,17.7,347.2,1015.1,100,10.8,30.1,2.6,2,,2021-01-27T07:02:35,2021-01-27T16:52:24,0.49,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/28/21,0.7,-7.7,-1.7,-3.2,-16.2,-7.3,-5.5,76.9,1.286,100,37.5,"rain,snow",0.6,7.8,57.7,37.5,322,1015.2,94.5,10.4,28.7,2.5,1,,2021-01-28T07:01:40,2021-01-28T16:53:42,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/29/21,-8.1,-13.8,-10.4,-16.7,-25.6,-20.3,-19,49.5,0,0,0,,0,7.4,61.1,38.4,312.7,1014.5,46.6,16,79.9,6.7,4,,2021-01-29T07:00:43,2021-01-29T16:55:00,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/30/21,-6.4,-13.4,-10.2,-12.9,-21.8,-18.1,-18.5,51.4,0,0,0,,0,7.2,44.7,23.6,321.9,1023.1,16,16,98.8,8.5,4,,2021-01-30T06:59:45,2021-01-30T16:56:18,0.52,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/31/21,-5.7,-14.3,-9.2,-5.7,-21,-13.1,-15.5,60.4,0,0,0,,0,7.2,31.7,17.9,335.5,1026.9,44.7,16,78.5,6.7,4,,2021-01-31T06:58:45,2021-01-31T16:57:37,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/1/21,1.4,-6.5,-1.7,-5.2,-10.9,-8.1,-4.6,80.9,16.297,100,41.67,"rain,snow",4.7,8.7,66.4,51.8,37.3,1018.5,99.1,10,17.8,1.4,1,,2021-02-01T06:57:43,2021-02-01T16:58:55,0.59,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/2/21,1.2,-1,0,-4.8,-7.8,-6.2,-1.2,91.8,7.611,100,54.17,"rain,snow",3,13,65.3,48.3,15,998,100,8.4,35.8,3.1,2,,2021-02-02T06:56:39,2021-02-02T17:00:14,0.63,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/3/21,1.3,-2,-0.2,-2.7,-7.5,-4.9,-3.5,79.3,0,0,0,,1.3,12.6,33.5,19.7,303.5,996.1,100,14.4,57.8,5.1,3,,2021-02-03T06:55:33,2021-02-03T17:01:33,0.68,Overcast,Cloudy skies throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/4/21,3,-2.3,0.2,-1.2,-6.3,-3.5,-4.3,72.4,0.24,100,4.17,"rain,snow",0,13,33.5,21,302,1006.6,72.6,15.2,71.8,6.4,4,,2021-02-04T06:54:26,2021-02-04T17:02:51,0.74,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/5/21,4.6,-4,0.6,3.9,-6.6,-1.8,-1.8,84.1,0.273,100,8.33,rain,0,12.4,27.7,18.4,192.4,1006.9,72,15.6,33.6,2.9,2,,2021-02-05T06:53:17,2021-02-05T17:04:10,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/6/21,5.6,-1.1,1.6,1.1,-6.6,-2.8,-7.3,55.2,0,0,0,,0,10.2,50.9,34.1,248.5,1013.1,25.1,15.6,105.3,9,5,,2021-02-06T06:52:07,2021-02-06T17:05:29,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/7/21,2.3,-3.3,-1.3,-1.7,-8.8,-5.1,-5,77.7,10.838,100,33.33,"rain,snow",14.4,14.8,,21.9,353.5,1015.8,92,10.5,13.7,1.2,1,,2021-02-07T06:50:55,2021-02-07T17:06:47,0.9,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/8/21,-1.4,-7.3,-4.7,-5.9,-14.3,-10.1,-13.2,52.9,0,0,0,,8.6,30.5,53.5,32,284.9,1025,32.6,15.9,102.2,8.7,5,,2021-02-08T06:49:42,2021-02-08T17:08:06,0.94,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/9/21,-2.7,-6.3,-4.4,-4.1,-10.3,-7.4,-8.4,75,4.266,100,33.33,snow,1.9,28.9,,16.4,354.5,1025.9,95.2,10.9,32.7,2.8,2,,2021-02-09T06:48:27,2021-02-09T17:09:24,0.97,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/10/21,-1.1,-8.2,-4.4,-5.3,-14.4,-9.4,-10.6,63.7,0,0,0,,1.1,30.2,31.7,20.9,305.2,1024.7,50.6,15.8,100.5,8.6,4,,2021-02-10T06:47:11,2021-02-10T17:10:42,1,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/11/21,-1.5,-6.8,-4.2,-5.8,-13.4,-8.8,-12.9,52,0,0,0,,0,28.2,38.9,22.4,314.4,1024.1,66.4,16,102.1,8.7,4,,2021-02-11T06:45:53,2021-02-11T17:12:00,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/12/21,-2.8,-11.7,-6.9,-5.8,-20.7,-13,-18.3,40.5,0,0,0,,0,27.4,40.7,24.2,303.7,1026,60.1,16,105.2,9,5,,2021-02-12T06:44:34,2021-02-12T17:13:18,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/13/21,-2.2,-8.3,-4.8,-6.8,-16,-9.9,-14.1,49.7,0,0,0,,0,25.2,,21.4,359,1027.1,86,16,71.1,6.1,4,,2021-02-13T06:43:13,2021-02-13T17:14:35,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/14/21,0.9,-2.8,-1.1,0.9,-7.4,-3.7,-6.6,66.4,0,0,0,,0,25,,16,8.3,1024.2,100,16,51,4.3,3,,2021-02-14T06:41:52,2021-02-14T17:15:53,0.04,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/15/21,-0.5,-2.6,-1.2,-3.4,-7.8,-5.5,-4.1,81.2,0.808,100,25,"rain,snow",0,24.6,,20.4,4.5,1023.8,100,12,22.1,1.8,1,,2021-02-15T06:40:29,2021-02-15T17:17:10,0.07,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/16/21,4.4,-1.1,2,2.6,-5.2,-1.7,1.1,94.4,16.261,100,54.17,"rain,snow",0,22.1,52.1,33.8,38.4,1006.2,97.7,5.4,27.4,2.3,2,,2021-02-16T06:39:05,2021-02-16T17:18:27,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/17/21,0.1,-5,-2.9,-5.6,-11.9,-8.7,-13.5,44.5,0,0,0,,0,18.3,53.5,35.6,299,1023.7,34.4,16,115.1,9.9,5,,2021-02-17T06:37:39,2021-02-17T17:19:44,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/18/21,-0.7,-4.3,-2.7,-2.7,-8.5,-6.7,-9.9,60.2,2.095,100,20.83,"rain,snow",4.4,19.5,,23.5,23.8,1030.7,98.6,12.8,49.5,4.2,2,,2021-02-18T06:36:13,2021-02-18T17:21:00,0.19,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/19/21,-1.3,-3.8,-2.5,-6.2,-9.4,-7.7,-4.1,88.5,9.913,100,87.5,"rain,snow",9.5,26.9,,23.4,3.9,1021.6,100,4.4,28.1,2.4,1,,2021-02-19T06:34:46,2021-02-19T17:22:16,0.24,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/20/21,-0.4,-4.3,-2.5,-5.1,-11,-7.7,-7.8,68.3,0,0,0,,4.1,35.3,38.6,23.8,318.5,1016.3,87,14.3,65.4,5.6,3,,2021-02-20T06:33:17,2021-02-20T17:23:32,0.28,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/21/21,0.7,-6.9,-3.4,-1.8,-13.8,-8.3,-12.4,51,0,0,0,,0,35.4,42.5,31,316.9,1028.9,12.9,16,131,11.5,5,,2021-02-21T06:31:47,2021-02-21T17:24:48,0.33,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/22/21,4.4,-7.5,-0.8,1,-11.3,-4.8,-4.8,74.6,4.547,100,29.17,rain,0,32.1,50,32.2,190.8,1017.9,84.4,15.2,57.8,4.9,4,,2021-02-22T06:30:17,2021-02-22T17:26:03,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/23/21,6.3,1,3.2,2.4,-4.1,-1.1,-1.7,71.4,0,0,0,,0,27.7,38.9,25,247,1002.4,78.9,16,111.1,9.6,5,,2021-02-23T06:28:45,2021-02-23T17:27:18,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/24/21,9.4,3.3,6.2,6.5,-0.7,2.6,-2.4,55,0,0,0,,0,24.8,49.1,31.4,235.8,1010.5,44.2,16,131.1,11.4,6,,2021-02-24T06:27:13,2021-02-24T17:28:32,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/25/21,7.9,0.8,5.6,4.5,-3.6,1.1,-5.8,45.3,0,0,0,,0,23.1,56.1,37.8,279,1013.1,27.7,16,135.4,11.7,6,,2021-02-25T06:25:39,2021-02-25T17:29:47,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/26/21,4,-2.6,0.3,4,-6.9,-3.6,-9.1,50.5,0,0,0,,0,23,31.3,20.9,261.7,1029.5,28.8,16,141,12.2,6,,2021-02-26T06:24:05,2021-02-26T17:31:01,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/27/21,8.1,-1.3,3,5.8,-5.9,-0.5,1.1,87.1,4.563,100,33.33,"rain,snow",0,22.4,31.7,20,186.3,1023.2,78.9,12.1,26,2.3,1,,2021-02-27T06:22:30,2021-02-27T17:32:15,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2/28/21,6.3,1.4,3.8,6.3,-1.3,1.2,-0.8,72.5,0,0,0,,0,19.8,,19.3,242.6,1023.6,80.6,15.9,62.2,5.5,2,,2021-02-28T06:20:54,2021-02-28T17:33:28,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/1/21,6.9,-1.1,3.6,3.9,-8.5,-0.3,-0.1,79.8,5.271,100,45.83,rain,0,17.5,75.9,50.1,280.9,1003.5,81.1,10.4,30.8,2.7,1,,2021-03-01T06:19:18,2021-03-01T17:34:41,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/2/21,-2.1,-10.6,-5.7,-8.8,-22.1,-14.6,-20.7,30.1,0,0,0,,0,15.2,79.9,49.8,288.3,1011.9,22.7,15.9,164,14.2,6,,2021-03-02T06:17:41,2021-03-02T17:35:54,0.57,Partially cloudy,Partly cloudy throughout the day.,wind,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/3/21,8.6,-5.1,2.4,5.8,-11.2,-1.9,-10.3,38.8,0,0,0,,0,15,38.9,25.4,263.2,1010.3,72.1,16,137.7,11.9,6,,2021-03-03T06:16:03,2021-03-03T17:37:07,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/4/21,5.4,-1.8,2.5,2.8,-9.4,-1.9,-9,44.2,0,0,0,,0,14.6,53.9,36.8,302.5,1005.7,53.8,16,116.7,10.1,8,,2021-03-04T06:14:24,2021-03-04T17:38:19,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/5/21,1.4,-4.5,-1.9,-4.9,-12.6,-8.7,-18.2,29.5,0,0,0,,0,13.1,54.9,36.5,294,1006.6,79.4,16,145.9,12.6,6,,2021-03-05T06:12:45,2021-03-05T17:39:31,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/6/21,2,-6,-2.2,-2.2,-12.5,-7.8,-15,37.4,0,0,0,,0,13,42.5,27.3,291.5,1015.4,27.6,16,173.8,15,6,,2021-03-06T06:11:06,2021-03-06T17:40:43,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/7/21,3.2,-6,-1.4,-0.4,-12.1,-6,-13.9,38.7,0,0,0,,0,13,27.7,20.1,305.1,1024.6,25.2,16,172.3,14.9,7,,2021-03-07T06:09:26,2021-03-07T17:41:54,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/8/21,3.5,-4.4,-0.2,0.3,-9.4,-4.2,-10.9,44.7,0,0,0,,0,13,,19,301.1,1027.9,28.7,16,174.2,15.1,6,,2021-03-08T06:07:45,2021-03-08T17:43:05,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/9/21,15.6,1.8,8.2,15.6,-2.1,6.2,-6.6,35.4,0,0,0,,0,12.4,39.3,27.9,280.5,1024.8,44.5,16,165.8,14.4,7,,2021-03-09T06:06:04,2021-03-09T17:44:16,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/10/21,8.8,0.9,5.2,5.7,-1.6,3,-2.6,57.7,0,0,0,,0,9.8,27.7,23.6,151.9,1032.8,24.7,16,165,14.3,6,,2021-03-10T06:04:22,2021-03-10T17:45:27,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/11/21,23.4,2.4,11.6,23.4,0.2,10.6,2.5,58.9,0,0,0,,0,6.5,57.2,33.4,210.4,1022.3,69.5,15.4,110.1,9.7,6,,2021-03-11T06:02:40,2021-03-11T17:46:38,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/12/21,18.2,9.8,14.3,18.2,6.2,14.2,-4.4,30.5,0,0,0,,0,0.5,62.5,36,261,1013.8,38.5,16,176.4,15.1,6,,2021-03-12T06:00:58,2021-03-12T17:47:48,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3/13/21,9.2,-0.2,4.9,6.6,-7.1,0.1,-13.4,26,0,0,0,,0,0,66.5,42.4,294.6,1017.7,24,16,179.3,15.4,7,,2021-03-13T05:59:15,2021-03-13T17:48:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
